127.0.0.1 - - [20/Jul/2020:08:37:13 +0200] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [20/Jul/2020:08:37:32 +0200] "GET /SilencerStoreProject/admin/list_users HTTP/1.1" 200 6122
0:0:0:0:0:0:0:1 - - [20/Jul/2020:08:37:32 +0200] "GET /SilencerStoreProject/images/admin-page.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2020:08:37:34 +0200] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [20/Jul/2020:08:37:37 +0200] "GET /SilencerStoreProject/admin/user_create.jsp HTTP/1.1" 200 1338
0:0:0:0:0:0:0:1 - - [20/Jul/2020:08:37:57 +0200] "POST /SilencerStoreProject/admin/create_user HTTP/1.1" 200 6426
0:0:0:0:0:0:0:1 - - [20/Jul/2020:08:38:09 +0200] "GET /SilencerStoreProject/admin/list_users HTTP/1.1" 200 6299
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:59:23 +0200] "GET /SilencerStoreProject/admin/user_create.jsp HTTP/1.1" 200 1356
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:59:34 +0200] "GET /SilencerStoreProject/admin/list_users HTTP/1.1" 200 6299
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:59:40 +0200] "GET /SilencerStoreProject/admin/user_create.jsp HTTP/1.1" 200 1356
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:59:50 +0200] "POST /SilencerStoreProject/admin/create_user HTTP/1.1" 200 6426
0:0:0:0:0:0:0:1 - - [20/Jul/2020:10:00:00 +0200] "GET /SilencerStoreProject/admin/user_create.jsp HTTP/1.1" 200 1356
0:0:0:0:0:0:0:1 - - [20/Jul/2020:10:02:15 +0200] "GET /SilencerStoreProject/admin/list_users HTTP/1.1" 200 6299
0:0:0:0:0:0:0:1 - - [20/Jul/2020:10:02:17 +0200] "GET /SilencerStoreProject/admin/user_create.jsp HTTP/1.1" 200 1356
0:0:0:0:0:0:0:1 - - [20/Jul/2020:10:02:31 +0200] "POST /SilencerStoreProject/admin/create_user HTTP/1.1" 500 1384
0:0:0:0:0:0:0:1 - - [20/Jul/2020:10:02:31 +0200] "POST /SilencerStoreProject/admin/create_user HTTP/1.1" 500 1384
0:0:0:0:0:0:0:1 - - [20/Jul/2020:10:03:02 +0200] "POST /SilencerStoreProject/admin/create_user HTTP/1.1" 200 6593
